Nº registro,Completo Parte,Edificio / Parte,Tipo vía,Calle,Portal,Piso,Municipio,Localidad,Código postal,Provincia,Zona climática,Año construcción,Normativa,Datos catastrales,Tipo edificio,Alcance edificio,Fecha inicio de vigencia,Fecha fin de vigencia,Superficie habitable,Superficie calefactada,Superficie refrigerada,Consumo anual,Emisiones anuales,Calificación energética,Calificación energ. emisiones,Más datos,Cod. calle,Cod. portal,Cod. provincia,Cod. municipio,Cod. localidad,Nº viviendas,Comunidad autónoma,Procedimiento,Cal. Grado Centralizacion,Cal. Equipo Principal,Cal. Tipo Energia,ACS Grado Centralizacion,ACS Equipo Principal,ACS Tipo Energia
CEE/CAPV/2018/00108478/E,0,VIVIENDA,Kalea/Calle,Rua Mayor de Peralta,6,SEGUNDO (mano única),Laguardia,Laguardia,1300.0,Araba/Álava,D1,2000,NBE-CT-79,310100290000010002CU,Vivienda,Existente,2018-01-03,2028-01-03,92.0,100,0,251.3,42.6,E,E,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2018-00108478-E,130103100000230.0,80103100001561.0,1,31,10103100000043,1.0,Euskadi,CE3Xv2.3,Equipos individuales,Efecto Joule / Radiador,Electricidad,Equipos individuales,Termo,Electricidad
CEE/CAPV/2018/00108485/E,0,UGARTE 12,Kalea/Calle,Ugarte,12,UNIFAMILIAR,Laudio/Llodio,Laudio/Llodio,1400.0,Araba/Álava,D1,1959,Anterior NBE-CT-79,36010078000001,Vivienda,Existente,2018-01-04,2028-01-04,327.0,100,0,439.1,80.8,G,G,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2018-00108485-E,130103600001020.0,80103600009004.0,1,36,10103600000016,5.0,Euskadi,CE3X,Equipos individuales,Caldera estandar,Gas natural,Equipos individuales,Caldera estandar,Gas natural
CEE/CAPV/2018/00108486/E,0,"San Roque 9,2ºD",Kalea/Calle,San Roque,9,2ºD,Legutio,Legutio,1170.0,Araba/Álava,D1,1968,Anterior NBE-CT-79,580203670000010008DT,Vivienda,Existente,2018-01-04,2028-01-04,73.0,100,0,118.5,25.0,D,D,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2018-00108486-E,130105800000350.0,80105800002683.0,1,58,10105800000084,1.0,Euskadi,CE3X,Equipos individuales,Caldera estandar,Gas natural,Equipos individuales,Caldera estandar,Gas natural
CEE/CAPV/2018/00108489/E,0,"Vivienda en Pza. Nueva nº 2, 1º A, Urkabustaiz, Izarra",Plaza/Plaza,Plaza Nueva,2,1º A,Urkabustaiz,Izarra,1440.0,Araba/Álava,E1,1998,NBE-CT-79,540304280000020001AS,Vivienda,Existente,2018-01-04,2028-01-04,94.0,100,0,311.8,66.0,E,E,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2018-00108489-E,130105400000240.0,80105400003400.0,1,54,10105400000077,1.0,Euskadi,CE3X,Equipos individuales,Caldera estandar,Gas natural,Equipos individuales,Caldera estandar,Gas natural
CEE/CAPV/2018/00108491/E,1,inmueble atxarte 10,Kalea/Calle,Atxarte,10,UNIFAMILIAR,Laudio/Llodio,Laudio/Llodio,1400.0,Araba/Álava,D1,1957,Anterior NBE-CT-79,360102660000010001HR,Vivienda,Existente,2017-11-18,2027-11-18,450.0,100,0,405.1,69.0,G,F,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2018-00108491-E,130103600000060.0,80103600000736.0,1,36,10103600000016,5.0,Euskadi,CE3X,Equipos individuales,Efecto Joule / Radiador,Electricidad,Equipos individuales,Caldera condensación,Gas natural
CEE/CAPV/2018/00108572/E,1,VIVIENDA UIFAMILIAR EN C/LUKAS REY 18 AMURRIO,Kalea/Calle,Lucas Rey,18,UNIFAMILIAR,Amurrio,Amurrio,1470.0,Araba/Álava,D1,1970,Anterior NBE-CT-79,021401000000010001DZ,Vivienda,Existente,2018-01-05,2028-01-05,108.0,100,0,303.4,64.2,E,E,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2018-00108572-E,130100200000570.0,80100200005918.0,1,2,10100200000023,1.0,Euskadi,CE3Xv2.3,Equipos individuales,Caldera estandar,Gas natural,Equipos individuales,Caldera estandar,Gas natural
CEE/CAPV/2018/00108577/E,0,Vivienda,Kalea/Calle,Dulantzi,27,3º-D,Agurain/Salvatierra,Agurain/Salvatierra,1200.0,Araba/Álava,E1,1967,Anterior NBE-CT-79,"Pol.4, parcela 106, edifi",Vivienda,Existente,2018-01-08,2028-01-08,74.0,100,0,180.5,38.0,E,E,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2018-00108577-E,130105100000300.0,80105100000978.0,1,51,10105100000073,1.0,Euskadi,CE3Xv2.3,Equipos individuales,Caldera estandar,Gas natural,Equipos individuales,Caldera estandar,Gas natural
CEE/CAPV/2018/00108705/E,0,vivienda 3º derecha,Kalea/Calle,San Prudencio,1,3º derecha,Oyón-Oion,Oyón-Oion,1320.0,Araba/Álava,D1,1973,Anterior NBE-CT-79,430313900000010005BU,Vivienda,Existente,2018-01-05,2028-01-05,82.0,100,0,406.6,68.9,G,F,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2018-00108705-E,130104300000530.0,80104300003473.0,1,43,10104300000048,1.0,Euskadi,CE3X,Equipos individuales,Efecto Joule / Radiador,Electricidad,Equipos individuales,Termo,Electricidad
CEE/CAPV/2018/00108709/E,0,BIDEBARRIETA 1 4B,Kalea/Calle,Bidebarrieta,1,"escalera IZ, planta 4, puerta B",Laudio/Llodio,Laudio/Llodio,1400.0,Araba/Álava,C1,1963,Anterior NBE-CT-79,360102990000010014DQ,Vivienda,Existente,2018-01-08,2028-01-08,67.0,100,0,429.9,72.8,G,G,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2018-00108709-E,130103600000100.0,80103600030060.0,1,36,10103600000016,1.0,Euskadi,CE3X,Equipos individuales,Efecto Joule / Radiador,Electricidad,Equipos individuales,Termo,Electricidad
CEE/CAPV/2018/00108713/E,0,2º Izda.,Kalea/Calle,Calle Mayor,43,2º Izda.,Agurain/Salvatierra,Agurain/Salvatierra,1200.0,Araba/Álava,D1,1970,Anterior NBE-CT-79,510300450000010004KQ,Vivienda,Existente,2017-12-29,2027-12-29,79.0,100,0,218.8,46.3,E,E,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2018-00108713-E,130105100000360.0,80105100002154.0,1,51,10105100000073,1.0,Euskadi,CE3X,Equipos individuales,Caldera estandar,Gas natural,Equipos individuales,Caldera estandar,Gas natural
